,Unnamed: 0,chestcircumference,waistcircumference,size
0,0,922,850,-
1,1,839,708,-
2,2,874,727,-
3,3,1008,923,-
4,4,1089,1163,-
5,5,1031,968,-
6,6,988,964,-
7,7,968,914,-
8,8,831,755,-
9,9,1010,944,-
10,10,1065,935,-
11,11,1034,942,-
12,12,1063,995,-
13,13,937,848,-
14,14,989,929,-
15,15,940,835,-
16,16,835,772,-
17,17,897,805,-
18,18,979,868,-
19,19,853,792,-
20,20,1090,1137,-
21,21,941,881,-
22,22,857,702,-
23,23,973,954,-
24,24,975,796,-
25,25,1026,1000,-
26,26,832,742,-
27,27,921,912,-
28,28,1032,913,-
29,29,904,821,-
30,30,951,930,-
31,31,950,901,-
32,32,965,935,-
33,33,1115,1077,-
34,34,1170,1112,-
35,35,895,812,-
36,36,944,869,-
37,37,833,712,-
38,38,1025,1057,-
39,39,982,964,-
40,40,1060,1134,-
41,41,991,869,-
42,42,994,942,-
43,43,1071,1019,-
44,44,945,865,-
45,45,1094,975,-
46,46,932,814,-
47,47,1013,947,-
48,48,910,794,-
49,49,793,679,-
50,50,954,890,-
51,51,1161,1334,-
52,52,1135,1076,-
53,53,1095,1007,-
54,54,1014,897,-
55,55,946,832,-
56,56,814,766,-
57,57,940,878,-
58,58,988,943,-
59,59,904,825,-
60,60,876,812,-
61,61,1090,1062,-
62,62,943,914,-
63,63,1132,987,-
64,64,977,868,-
65,65,977,839,-
66,66,1006,814,-
67,67,936,804,-
68,68,1065,925,-
69,69,890,805,-
70,70,900,811,-
71,71,862,757,-
72,72,896,839,-
73,73,943,821,-
74,74,1092,1001,-
75,75,920,860,-
76,76,1071,922,-
77,77,1001,1012,-
78,78,1126,981,-
79,79,982,870,-
80,80,1069,931,-
81,81,1061,895,-
82,82,1031,925,-
83,83,924,751,-
84,84,999,1019,-
85,85,865,784,-
86,86,998,917,-
87,87,930,865,-
88,88,934,847,-
89,89,856,785,-
90,90,979,1004,-
91,91,852,759,-
92,92,1014,955,-
93,93,841,694,-
94,94,1057,1068,-
95,95,986,948,-
96,96,951,912,-
97,97,1068,989,-
98,98,945,887,-
