,Unnamed: 0,chestcircumference,waistcircumference,size
0,0,1074,933,-
1,1,1021,870,-
2,2,1120,964,-
3,3,1114,857,-
4,4,1048,868,-
5,5,1066,950,-
6,6,1208,1073,-
7,7,1087,1010,-
8,8,1181,1065,-
9,9,964,824,-
10,10,1117,994,-
11,11,961,866,-
12,12,1151,986,-
13,13,1231,1045,-
14,14,1060,1007,-
15,15,1092,1033,-
16,16,1085,908,-
17,17,1118,1028,-
18,18,999,874,-
19,19,1127,999,-
20,20,1000,837,-
21,21,977,880,-
22,22,1079,978,-
23,23,1011,827,-
24,24,1098,1030,-
25,25,957,885,-
26,26,1158,1130,-
27,27,964,912,-
28,28,971,864,-
29,29,1057,965,-
30,30,957,777,-
31,31,1108,1063,-
32,32,947,870,-
33,33,1043,966,-
34,34,965,806,-
35,35,1174,1096,-
36,36,951,895,-
37,37,1182,1214,-
38,38,981,790,-
39,39,1086,1002,-
40,40,865,748,-
41,41,1205,1043,-
42,42,1013,864,-
43,43,1152,969,-
44,44,1096,1095,-
45,45,957,770,-
46,46,985,840,-
47,47,1063,1028,-
48,48,1137,1021,-
49,49,1106,1061,-
50,50,1166,1139,-
51,51,1081,922,-
52,52,1006,995,-
53,53,1153,1047,-
54,54,1037,885,-
55,55,1469,1379,-
56,56,901,750,-
57,57,1071,970,-
58,58,1263,1068,-
59,59,1146,1012,-
60,60,858,754,-
61,61,1044,926,-
62,62,904,827,-
63,63,1033,940,-
64,64,1160,1133,-
65,65,971,843,-
66,66,1050,1021,-
67,67,1213,1061,-
68,68,944,786,-
69,69,989,855,-
70,70,975,830,-
71,71,939,743,-
72,72,1091,967,-
73,73,983,922,-
74,74,1129,1120,-
75,75,1205,1060,-
76,76,1123,1030,-
77,77,1129,974,-
78,78,1048,844,-
79,79,1063,969,-
80,80,1098,1010,-
81,81,972,892,-
82,82,1127,1032,-
83,83,963,851,-
84,84,1098,979,-
85,85,953,857,-
86,86,1024,979,-
87,87,1043,984,-
88,88,902,721,-
89,89,1008,885,-
90,90,1027,961,-
91,91,1044,996,-
92,92,917,838,-
93,93,917,752,-
94,94,924,775,-
95,95,994,809,-
96,96,1001,862,-
97,97,1069,1027,-
98,98,995,797,-
99,99,1104,1082,-
100,100,1045,942,-
101,101,1015,871,-
102,102,1109,912,-
103,103,991,873,-
104,104,844,785,-
105,105,1176,1023,-
106,106,1085,924,-
107,107,1085,1001,-
108,108,1021,901,-
109,109,1096,958,-
110,110,1063,972,-
111,111,1030,939,-
112,112,1106,1003,-
113,113,1163,1139,-
114,114,1089,1162,-
115,115,1149,1111,-
116,116,1041,900,-
117,117,1056,998,-
118,118,1358,1330,-
119,119,1025,897,-
120,120,1000,911,-
121,121,1026,861,-
122,122,989,920,-
123,123,1251,1192,-
124,124,1030,1012,-
125,125,970,845,-
126,126,1035,843,-
127,127,1076,910,-
128,128,1038,879,-
129,129,1113,1031,-
130,130,1011,929,-
131,131,1024,994,-
132,132,997,815,-
133,133,1057,983,-
134,134,1082,1004,-
135,135,1002,825,-
136,136,1132,1077,-
137,137,1123,952,-
138,138,1175,1047,-
139,139,1021,851,-
140,140,1115,920,-
141,141,1112,934,-
142,142,1165,1114,-
143,143,1056,967,-
144,144,1048,1007,-
145,145,1137,1109,-
146,146,1041,827,-
147,147,1027,947,-
148,148,1021,881,-
149,149,1001,833,-
150,150,1126,963,-
151,151,1225,1100,-
152,152,1070,852,-
153,153,1102,941,-
154,154,1194,1026,-
155,155,1097,978,-
156,156,1208,1150,-
157,157,1116,935,-
158,158,995,923,-
159,159,1092,973,-
160,160,1079,908,-
161,161,1179,1111,-
162,162,1084,1031,-
163,163,1150,1164,-
164,164,1098,1006,-
165,165,1142,1018,-
166,166,1071,992,-
167,167,1021,908,-
168,168,1241,1053,-
169,169,1027,912,-
170,170,1167,1049,-
171,171,1082,917,-
172,172,1139,1066,-
173,173,947,848,-
174,174,948,759,-
175,175,1058,959,-
176,176,1102,970,-
177,177,1179,1068,-
178,178,1028,972,-
179,179,1048,993,-
180,180,969,898,-
181,181,1125,964,-
182,182,1049,881,-
183,183,957,821,-
184,184,913,801,-
185,185,995,845,-
186,186,1237,1134,-
187,187,1018,877,-
188,188,1059,951,-
189,189,907,867,-
190,190,1063,1029,-
191,191,1017,879,-
192,192,1130,1015,-
193,193,1156,1034,-
194,194,978,844,-
195,195,963,797,-
196,196,965,892,-
197,197,956,865,-
198,198,1080,1031,-
199,199,1078,912,-
200,200,1158,1086,-
201,201,1013,914,-
202,202,1037,923,-
203,203,1039,918,-
204,204,985,831,-
205,205,1285,1182,-
206,206,1082,1054,-
207,207,1157,1118,-
208,208,1049,963,-
209,209,1063,877,-
210,210,1061,912,-
211,211,1120,973,-
212,212,913,818,-
213,213,941,783,-
214,214,1151,1015,-
215,215,810,694,-
216,216,1163,1121,-
217,217,972,870,-
218,218,1091,1015,-
219,219,846,738,-
220,220,1092,1032,-
221,221,1071,979,-
222,222,1172,1017,-
223,223,1035,883,-
224,224,1203,1068,-
225,225,1212,1179,-
226,226,1047,993,-
227,227,977,880,-
228,228,1014,977,-
229,229,1041,925,-
230,230,1082,1010,-
231,231,1166,1004,-
232,232,967,744,-
233,233,1171,1045,-
234,234,1078,936,-
235,235,963,755,-
236,236,1101,997,-
237,237,1053,913,-
238,238,1027,921,-
239,239,972,899,-
240,240,915,734,-
241,241,1142,1124,-
242,242,1081,976,-
243,243,1108,1084,-
244,244,1069,1026,-
245,245,1140,1078,-
246,246,1018,972,-
